keynum,methodName,methodOfClass,projectName,SIZE,LCOM1,LCOM2,LCOM4,COH,CC,DR,NOAV,WMA,code
1205,main(String[]),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrSample.java,neuroph,7,17,13,3,0.2381,0.0583,0.75,5,1,"public static void main(String[] args){
  NeuralNetwork nnet=NeuralNetwork.load(""C:\\Users\\zoran\\Desktop\\nn.nnet"");
  OcrPlugin ocrPlugin=(OcrPlugin)nnet.getPlugin(OcrPlugin.class);
  Image charImage=ImageFactory.getImage(""C:\\Users\\zoran\\Desktop\\Letters\\A.png"");
  Character ch=ocrPlugin.recognizeCharacter(charImage);
  System.out.println(ch);
}
"
1210,recognize(),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTextRecognition.java,neuroph,11,46,37,4,0.1717,0.0583,1,4,3,"/** 
 * recognize the text on the image (document)
 */
public void recognize(){
  int imageHeight=image.getHeight();
  int imageWidth=image.getWidth();
  visited=new boolean[imageHeight][imageWidth];
  text="""";
  for (int i=0; i < textInformation.numberOfRows(); i++) {
    String rowText=recognizeRow(i);
    if (!rowText.isEmpty()) {
      text+=rowText + ""\n"";
    }
  }
  visited=null;
}
"
1211,recognizeRow(int),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTextRecognition.java,neuroph,12,40,14,2,0.25,0.171,0.5,7,3,"private String recognizeRow(int row){
  String rowText="""";
  List<WordPosition> words=textInformation.getWordsAtRow(row);
  for (int i=0; i < words.size(); i++) {
    int rowPixel=textInformation.getRowAt(row);
    WordPosition word=words.get(i);
    rowText+=recognizeWord(word,rowPixel);
    if ((i + 1) == words.size()) {
      rowText+=addSpaces(word,null);
    }
 else {
      WordPosition next=words.get(i + 1);
      rowText+=addSpaces(word,next);
    }
  }
  return rowText;
}
"
1212,"recognizeWord(WordPosition,int)",D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTextRecognition.java,neuroph,32,443,390,9,0.0775,0.0331,0.4,18,8,"private String recognizeWord(WordPosition word,int rowPixel){
  String wordText="""";
  int tmpWidth=3 * letterInformation.getCropWidth();
  int tmpHeight=3 * letterInformation.getCropHeight();
  int trashsize=letterInformation.getTrashSize();
  OCRExtractLetter extractionLetter=new OCRExtractLetter(tmpWidth,tmpHeight,trashsize);
  int letterSize=letterInformation.getLetterSize();
  int start=word.getStartPixel();
  int end=word.getEndPixel();
  Color white=Color.WHITE;
  Color color;
  for (int j=start; j < end; j++) {
    for (int k=-(letterSize / 4); k < (letterSize / 4); k++) {
      int i=rowPixel + k;
      if (i < 0 || i > image.getHeight()) {
        continue;
      }
      color=new Color(image.getRGB(j,i));
      if (color.equals(white)) {
        visited[i][j]=true;
      }
 else       if (visited[i][j] == false) {
        BufferedImage letter=extractionLetter.extraxtLetter(image,visited,i,j);
        if (letter != null) {
          OCRCropLetter crop=new OCRCropLetter(letter,letterInformation.getCropWidth(),letterInformation.getCropHeight());
          BufferedImage croped=crop.processImage();
          wordText+=recognizeLetter(croped);
        }
      }
    }
  }
  return wordText;
}
"
1214,"addSpaces(WordPosition,WordPosition)",D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTextRecognition.java,neuroph,9,30,24,4,0.1905,0.1081,0.666666667,6,3,"private String addSpaces(WordPosition first,WordPosition second){
  if (second == null) {
    return """";
  }
  String space="""";
  int gap=second.getStartPixel() - first.getEndPixel();
  int num=gap / letterInformation.getSpaceGap();
  for (int i=0; i < num; i++) {
    space+="" "";
  }
  return space;
}
"
1216,saveText(),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTextRecognition.java,neuroph,13,65,52,4,0.1635,0.0962,0,6,4,"/** 
 * save the recognized text to the file specified earlier in location folder
 */
public void saveText(){
  try {
    File file=new File(recognizedTextPath);
    if (!file.exists()) {
      file.createNewFile();
    }
    String[] lines=text.split(""\n"");
    FileWriter fw=new FileWriter(file.getAbsoluteFile());
    BufferedWriter bw=new BufferedWriter(fw);
    for (    String line : lines) {
      bw.write(line);
      bw.newLine();
    }
    bw.close();
  }
 catch (  IOException ex) {
    ex.printStackTrace();
  }
}
"
1226,createCharacterLabels(),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTraining.java,neuroph,7,14,7,3,0.3929,0.1583,0,2,3,"private void createCharacterLabels(){
  characterLabels=new ArrayList<String>();
  for (int i=0; i < trainingText.length(); i++) {
    String c=trainingText.charAt(i) + """";
    if (!characterLabels.contains(c)) {
      characterLabels.add(trainingText.charAt(i) + """");
    }
  }
}
"
1227,prepateText(),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTraining.java,neuroph,8,19,10,3,0.3,0.1265,0,3,4,"private void prepateText(){
  String tmp="""";
  for (int i=0; i < trainingText.length(); i++) {
    char c=trainingText.charAt(i);
    if ((!Character.isSpaceChar(c)) && (!Character.isWhitespace(c))) {
      tmp+=c;
    }
  }
  trainingText=tmp;
}
"
1228,createImagesWithLetters(),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OCRTraining.java,neuroph,39,670,599,9,0.0611,0.0267,0.454545455,23,9,"private void createImagesWithLetters(){
  int cropWidth=letterInformation.getCropWidth();
  int cropHeight=letterInformation.getCropHeight();
  int tmpWidth=3 * cropWidth;
  int tmpHeight=3 * cropHeight;
  int trashSize=letterInformation.getTrashSize();
  OCRExtractLetter extractionLetter=new OCRExtractLetter(tmpWidth,tmpHeight,trashSize);
  int letterSize=letterInformation.getLetterSize();
  int imageHeight=image.getHeight();
  int imageWidth=image.getWidth();
  boolean[][] visited=new boolean[imageHeight][imageWidth];
  Color white=Color.WHITE;
  Color color;
  int seqNum=0;
  for (int line=0; line < textInformation.numberOfRows(); line++) {
    for (int j=0; j < imageWidth; j++) {
      for (int k=-(letterSize / 4); k < (letterSize / 4); k++) {
        int rowPixel=textInformation.getRowAt(line);
        int i=rowPixel + k;
        if (i < 0 || i >= imageHeight) {
          continue;
        }
        color=new Color(image.getRGB(j,i));
        if (color.equals(white)) {
          visited[i][j]=true;
        }
 else         if (visited[i][j] == false) {
          BufferedImage letter=extractionLetter.extraxtLetter(image,visited,i,j);
          if (letter != null) {
            OCRCropLetter crop=new OCRCropLetter(letter,cropWidth,cropHeight);
            BufferedImage croped=crop.processImage();
            String character=trainingText.charAt(seqNum) + """";
            String name=character + ""_"" + seqNum;
            OCRUtilities.saveToFile(croped,folderPath,name,imageExtension);
            seqNum++;
          }
        }
      }
    }
  }
}
"
1229,blackAndWhiteCleaning(Image),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,7,11,1,3,0.5238,0.2833,0.25,3,4,"/** 
 * This method cleans input image by replacing
 * all non black pixels with white pixels
 * @param image - input image that will be cleaned
 * @return - cleaned input image as BufferedImage
 */
public static Image blackAndWhiteCleaning(Image image){
  for (int j=0; j < image.getHeight(); j++) {
    for (int i=0; i < image.getWidth(); i++) {
      if (image.getPixel(i,j) != -16777216) {
        image.setPixel(i,j,-1);
      }
    }
  }
  return image;
}
"
1230,blackAndGrayCleaning(Image),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,8,13,0,3,0.5833,0.3457,0.25,3,4,"/** 
 * This method cleans input image by replacing all pixels with RGB values
 * from -4473925 (gray) to -1 (white) with white pixels and
 * from -4473925 (gray) to -16777216 (black) with black pixels
 * @param image - input image that will be cleaned
 * @return - cleaned input image as BufferedImage
 */
public static Image blackAndGrayCleaning(Image image){
  for (int j=0; j < image.getHeight(); j++) {
    for (int i=0; i < image.getWidth(); i++) {
      if (image.getPixel(i,j) > -4473925) {
        image.setPixel(i,j,-1);
      }
 else {
        image.setPixel(i,j,-16777216);
      }
    }
  }
  return image;
}
"
1231,blackAndLightGrayCleaning(Image),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,8,13,0,3,0.5833,0.3457,0.25,3,4,"/** 
 * This method cleans input image by replacing all pixels with RGB values
 * from -3092272 (light gray) to -1 (white) with white pixels and
 * from -3092272 (light gray) to -16777216 (black) with black pixels
 * @param image - input image that will be cleaned
 * @return - cleaned input image as BufferedImage
 */
public static Image blackAndLightGrayCleaning(Image image){
  for (int j=0; j < image.getHeight(); j++) {
    for (int i=0; i < image.getWidth(); i++) {
      if (image.getPixel(i,j) > -4473925) {
        image.setPixel(i,j,-1);
      }
 else {
        image.setPixel(i,j,-16777216);
      }
    }
  }
  return image;
}
"
1232,"colorCleaning(Image,int)",D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,8,13,0,3,0.4688,0.3117,0.25,4,4,"/** 
 * This method cleans input image by replacing all pixels with RGB values
 * from RGBcolor input (the input color) to -1 (white) with white pixels and
 * from RGBcolor input (the input color) to -16777216 (black) with black pixels
 * @param image - input image that will be cleaned
 * @param RGBcolor - input RGB value of wanted color as reference for celaning
 * @return - cleaned input image as BufferedImage
 */
public static Image colorCleaning(Image image,int RGBcolor){
  for (int j=0; j < image.getHeight(); j++) {
    for (int i=0; i < image.getWidth(); i++) {
      if (image.getPixel(i,j) == RGBcolor) {
        image.setPixel(i,j,-16777216);
      }
 else {
        image.setPixel(i,j,-1);
      }
    }
  }
  return image;
}
"
1235,trimLockup(Image),D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,6,10,5,3,0.4444,0.1786,0.333333333,3,4,"/** 
 * This method reads the image pixels until it reads the first black pixel
 * by height and then returns that value
 * @param Img - input image that will be read
 * @return - returns the value of height when conditions are true
 */
private static int trimLockup(Image img){
  for (int j=0; j < img.getHeight(); j++) {
    for (int i=0; i < img.getWidth(); i++) {
      if (img.getPixel(i,j) == -16777216) {
        return j;
      }
    }
  }
  return 0;
}
"
1236,"trimLockdown(Image,int)",D:\temp\case study\neuroph-2.94\org\neuroph\ocr\OcrUtils.java,neuroph,12,37,8,3,0.3167,0.2077,0.333333333,5,7,"/** 
 * This method reads the input image from the input from
 * start pixel height (y1) until it reads the first next row
 * where all pixel are white by height and return that value
 * @param Img - input image that will be read
 * @param y1 - input start height pixel of image
 * @return - returns the value of height when conditions are true
 */
private static int trimLockdown(Image img,int y1){
  for (int j=y1 + 1; j < img.getHeight(); j++) {
    int counterWhite=0;
    for (int i=0; i < img.getWidth(); i++) {
      if (img.getPixel(i,j) == -1) {
        counterWhite++;
      }
    }
    if (counterWhite == img.getWidth()) {
      if (j > (img.getHeight() / 2)) {
        return j;
      }
    }
    if (j == img.getHeight() - 1) {
      return j + 1;
    }
  }
  return 0;
}
"
1239,run(),D:\temp\case study\neuroph-2.94\org\neuroph\samples\BufferedDataSetSample.java,neuroph,6,11,7,3,0.2292,0.0833,0.8,3,1,"public void run() throws FileNotFoundException {
  String inputFileName=BufferedDataSetSample.class.getResource(""data/iris_data_normalised.txt"").getFile();
  MultiLayerPerceptron neuralNet=new MultiLayerPerceptron(4,16,3);
  BufferedDataSet irisDataSet=new BufferedDataSet(new File(inputFileName),4,3,"","");
  neuralNet.getLearningRule().addListener(this);
  neuralNet.learn(irisDataSet);
}
"
1242,main(String),D:\temp\case study\neuroph-2.94\org\neuroph\samples\HopfieldSample.java,neuroph,7,11,1,1,0.3571,0.246,0.4,5,2,"/** 
 * Runs this sample
 */
public static void main(String args[]){
  DataSet trainingSet=new DataSet(9);
  trainingSet.addRow(new DataSetRow(new double[]{1,0,1,1,1,1,1,0,1}));
  trainingSet.addRow(new DataSetRow(new double[]{1,1,1,0,1,0,0,1,0}));
  Hopfield myHopfield=new Hopfield(9);
  myHopfield.learn(trainingSet);
  System.out.println(""Testing network"");
  trainingSet.addRow(new DataSetRow(new double[]{1,0,0,1,0,1,1,0,1}));
  for (  DataSetRow trainingSetRow : trainingSet.getRows()) {
    myHopfield.setInput(trainingSetRow.getInput());
    myHopfield.calculate();
    myHopfield.calculate();
    double[] networkOutput=myHopfield.getOutput();
    System.out.print(""Input: "" + Arrays.toString(trainingSetRow.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1243,main(String[]),D:\temp\case study\neuroph-2.94\org\neuroph\samples\IrisClassificationSample.java,neuroph,6,0,0,1,0.375,0.6389,0.7,4,1,"/** 
 * Runs this sample
 */
public static void main(String[] args){
  String inputFileName=""data_sets/iris_data_normalised.txt"";
  MultiLayerPerceptron neuralNet=new MultiLayerPerceptron(4,16,3);
  DataSet irisDataSet=DataSet.createFromFile(inputFileName,4,3,"","");
  neuralNet.getLearningRule().addListener(new LearningListener());
  neuralNet.getLearningRule().setLearningRate(0.2);
  neuralNet.getLearningRule().setMaxError(0.01);
  neuralNet.getLearningRule().setMaxIterations(30000);
  neuralNet.learn(irisDataSet);
  neuralNet.save(""irisNet.nnet"");
  System.out.println(""Done training."");
  System.out.println(""Testing network..."");
}
"
1244,"testNeuralNetwork(NeuralNetwork,DataSet)",D:\temp\case study\neuroph-2.94\org\neuroph\samples\IrisClassificationSample.java,neuroph,7,14,7,2,0.3214,0.1508,0.6,4,2,"/** 
 * Prints network output for the each element from the specified training set.
 * @param neuralNet neural network
 * @param testSet test data set
 */
public static void testNeuralNetwork(NeuralNetwork neuralNet,DataSet testSet){
  for (  DataSetRow testSetRow : testSet.getRows()) {
    neuralNet.setInput(testSetRow.getInput());
    neuralNet.calculate();
    double[] networkOutput=neuralNet.getOutput();
    System.out.print(""Input: "" + Arrays.toString(testSetRow.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1246,main(String[]),D:\temp\case study\neuroph-2.94\org\neuroph\samples\JDBCSample.java,neuroph,18,129,105,2,0.123,0.0464,0.4,12,2,"/** 
 * Runs this sample
 */
public static void main(String[] args) throws FileNotFoundException, IOException, ClassNotFoundException, SQLException {
  MultiLayerPerceptron neuralNet=new MultiLayerPerceptron(2,3,1);
  Class.forName(""sun.jdbc.odbc.JdbcOdbcDriver"");
  String dbName=""neuroph"";
  String dbUser=""root"";
  String dbPass="""";
  Connection connection=DriverManager.getConnection(""jdbc:mysql://localhost:3306/"" + dbName,dbUser,dbPass);
  String inputSql=""SELECT * FROM input_data"";
  JDBCInputAdapter in=new JDBCInputAdapter(connection,inputSql);
  String outputTable=""output_data"";
  JDBCOutputAdapter out=new JDBCOutputAdapter(connection,outputTable);
  double[] input;
  while ((input=in.readInput()) != null) {
    neuralNet.setInput(input);
    neuralNet.calculate();
    double[] output=neuralNet.getOutput();
    out.writeOutput(output);
  }
  in.close();
  out.close();
  connection.close();
}
"
1247,main(String[]),D:\temp\case study\neuroph-2.94\org\neuroph\samples\NormalizationSample.java,neuroph,11,30,5,2,0.2149,0.1697,0.5,4,2,"/** 
 * Runs this sample
 */
public static void main(String[] args){
  DataSet dataSet=new DataSet(2,1);
  dataSet.addRow(new DataSetRow(new double[]{10,12},new double[]{0}));
  dataSet.addRow(new DataSetRow(new double[]{23,19},new double[]{0}));
  dataSet.addRow(new DataSetRow(new double[]{47,76},new double[]{0}));
  dataSet.addRow(new DataSetRow(new double[]{98,123},new double[]{1}));
  Normalizer norm=new MaxMinNormalizer();
  norm.normalize(dataSet);
  for (  DataSetRow dataSetRow : dataSet.getRows()) {
    System.out.print(""Input: "" + Arrays.toString(dataSetRow.getInput()));
    System.out.print(""Output: "" + Arrays.toString(dataSetRow.getDesiredOutput()));
  }
}
"
1248,main(String),D:\temp\case study\neuroph-2.94\org\neuroph\samples\PerceptronSample.java,neuroph,14,57,23,4,0.2071,0.1451,0.571428571,4,1,"/** 
 * Runs this sample
 */
public static void main(String args[]){
  DataSet trainingSet=new DataSet(2,1);
  trainingSet.addRow(new DataSetRow(new double[]{0,0},new double[]{0}));
  trainingSet.addRow(new DataSetRow(new double[]{0,1},new double[]{0}));
  trainingSet.addRow(new DataSetRow(new double[]{1,0},new double[]{0}));
  trainingSet.addRow(new DataSetRow(new double[]{1,1},new double[]{1}));
  NeuralNetwork myPerceptron=new Perceptron(2,1);
  myPerceptron.learn(trainingSet);
  System.out.println(""Testing trained perceptron"");
  testNeuralNetwork(myPerceptron,trainingSet);
  myPerceptron.save(""mySamplePerceptron.nnet"");
  NeuralNetwork loadedPerceptron=NeuralNetwork.load(""mySamplePerceptron.nnet"");
  System.out.println(""Testing loaded perceptron"");
  testNeuralNetwork(loadedPerceptron,trainingSet);
}
"
1249,"testNeuralNetwork(NeuralNetwork,DataSet)",D:\temp\case study\neuroph-2.94\org\neuroph\samples\PerceptronSample.java,neuroph,7,14,7,2,0.3214,0.1508,0.6,4,2,"/** 
 * Prints network output for the each element from the specified training set.
 * @param neuralNet neural network
 * @param testSet data set used for testing
 */
public static void testNeuralNetwork(NeuralNetwork neuralNet,DataSet testSet){
  for (  DataSetRow trainingElement : testSet.getRows()) {
    neuralNet.setInput(trainingElement.getInput());
    neuralNet.calculate();
    double[] networkOutput=neuralNet.getOutput();
    System.out.print(""Input: "" + Arrays.toString(trainingElement.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1251,printWeights(NeuralNetwork<?>),D:\temp\case study\neuroph-2.94\org\neuroph\samples\RandomizationSample.java,neuroph,7,18,15,4,0.25,0.0648,1,5,4,"public static void printWeights(NeuralNetwork<?> neuralNet){
  for (  Layer layer : neuralNet.getLayers()) {
    for (    Neuron neuron : layer.getNeurons()) {
      for (      Connection connection : neuron.getInputConnections()) {
        System.out.print(connection.getWeight().value + "" "");
      }
      System.out.println();
    }
  }
}
"
1253,run(),D:\temp\case study\neuroph-2.94\org\neuroph\samples\RBFClassificationSample.java,neuroph,9,29,22,5,0.25,0.1667,0.857142857,4,1,"public void run(){
  String inputFileName=""data_sets/sine.csv"";
  RBFNetwork neuralNet=new RBFNetwork(1,15,1);
  DataSet dataSet=DataSet.createFromFile(inputFileName,1,1,"","",false);
  RBFLearning learningRule=((RBFLearning)neuralNet.getLearningRule());
  learningRule.setLearningRate(0.02);
  learningRule.setMaxError(0.01);
  learningRule.addListener(this);
  neuralNet.learn(dataSet);
  System.out.println(""Done training."");
  System.out.println(""Testing network..."");
  testNeuralNetwork(neuralNet,dataSet);
}
"
1254,"testNeuralNetwork(NeuralNetwork,DataSet)",D:\temp\case study\neuroph-2.94\org\neuroph\samples\RBFClassificationSample.java,neuroph,8,21,14,3,0.2813,0.1173,0.6,4,2,"/** 
 * Prints network output for the each element from the specified training set.
 * @param neuralNet neural network
 * @param testSet test data set
 */
public void testNeuralNetwork(NeuralNetwork neuralNet,DataSet testSet){
  for (  DataSetRow testSetRow : testSet.getRows()) {
    neuralNet.setInput(testSetRow.getInput());
    neuralNet.calculate();
    double[] networkOutput=neuralNet.getOutput();
    System.out.print(""Input: "" + Arrays.toString(testSetRow.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1257,run(),D:\temp\case study\neuroph-2.94\org\neuroph\samples\XorMultiLayerPerceptronSample.java,neuroph,22,166,101,6,0.1165,0.1167,0.533333333,4,1,"/** 
 * Runs this sample
 */
public void run(){
  DataSet trainingSet=new DataSet(2,1);
  trainingSet.addRow(new DataSetRow(new double[]{0,0},new double[]{0}));
  trainingSet.addRow(new DataSetRow(new double[]{0,1},new double[]{1}));
  trainingSet.addRow(new DataSetRow(new double[]{1,0},new double[]{1}));
  trainingSet.addRow(new DataSetRow(new double[]{1,1},new double[]{0}));
  MultiLayerPerceptron myMlPerceptron=new MultiLayerPerceptron(TransferFunctionType.SIGMOID,2,3,1);
  myMlPerceptron.randomizeWeights(new WeightsRandomizer(new Random(123)));
  System.out.println(Arrays.toString(myMlPerceptron.getWeights()));
  myMlPerceptron.setLearningRule(new BackPropagation());
  myMlPerceptron.getLearningRule().setLearningRate(0.5);
  LearningRule learningRule=myMlPerceptron.getLearningRule();
  learningRule.addListener(this);
  System.out.println(""Training neural network..."");
  myMlPerceptron.learn(trainingSet);
  System.out.println(""Testing trained neural network"");
  testNeuralNetwork(myMlPerceptron,trainingSet);
  myMlPerceptron.save(""myMlPerceptron.nnet"");
  NeuralNetwork loadedMlPerceptron=NeuralNetwork.createFromFile(""myMlPerceptron.nnet"");
  System.out.println(""Testing loaded neural network"");
  testNeuralNetwork(loadedMlPerceptron,trainingSet);
}
"
1258,"testNeuralNetwork(NeuralNetwork,DataSet)",D:\temp\case study\neuroph-2.94\org\neuroph\samples\XorMultiLayerPerceptronSample.java,neuroph,7,14,7,2,0.3214,0.1508,0.6,4,2,"/** 
 * Prints network output for the each element from the specified training set.
 * @param neuralNet neural network
 * @param testSet test set
 */
public static void testNeuralNetwork(NeuralNetwork neuralNet,DataSet testSet){
  for (  DataSetRow testSetRow : testSet.getRows()) {
    neuralNet.setInput(testSetRow.getInput());
    neuralNet.calculate();
    double[] networkOutput=neuralNet.getOutput();
    System.out.print(""Input: "" + Arrays.toString(testSetRow.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1261,run(),D:\temp\case study\neuroph-2.94\org\neuroph\samples\XorResilientPropagationSample.java,neuroph,15,68,31,3,0.1744,0.1303,0.7,4,1,"/** 
 * Runs this sample
 */
public void run(){
  DataSet trainingSet=new DataSet(2,1);
  trainingSet.addRow(new DataSetRow(new double[]{0,0},new double[]{0}));
  trainingSet.addRow(new DataSetRow(new double[]{0,1},new double[]{1}));
  trainingSet.addRow(new DataSetRow(new double[]{1,0},new double[]{1}));
  trainingSet.addRow(new DataSetRow(new double[]{1,1},new double[]{0}));
  MultiLayerPerceptron myMlPerceptron=new MultiLayerPerceptron(TransferFunctionType.SIGMOID,2,3,1);
  myMlPerceptron.setLearningRule(new ResilientPropagation());
  LearningRule learningRule=myMlPerceptron.getLearningRule();
  learningRule.addListener(this);
  System.out.println(""Training neural network..."");
  myMlPerceptron.learn(trainingSet);
  int iterations=((SupervisedLearning)myMlPerceptron.getLearningRule()).getCurrentIteration();
  System.out.println(""Learned in "" + iterations + "" iterations"");
  System.out.println(""Testing trained neural network"");
  testNeuralNetwork(myMlPerceptron,trainingSet);
}
"
1262,"testNeuralNetwork(NeuralNetwork,DataSet)",D:\temp\case study\neuroph-2.94\org\neuroph\samples\XorResilientPropagationSample.java,neuroph,7,14,7,2,0.3214,0.1508,0.6,4,2,"/** 
 * Prints network output for each element from the specified training set.
 * @param neuralNet neural network
 * @param trainingSet training set
 */
public static void testNeuralNetwork(NeuralNetwork neuralNet,DataSet testSet){
  for (  DataSetRow testSetRow : testSet.getRows()) {
    neuralNet.setInput(testSetRow.getInput());
    neuralNet.calculate();
    double[] networkOutput=neuralNet.getOutput();
    System.out.print(""Input: "" + Arrays.toString(testSetRow.getInput()));
    System.out.println("" Output: "" + Arrays.toString(networkOutput));
  }
}
"
1270,"fullConnect(Layer,Layer,boolean)",D:\temp\case study\neuroph-2.94\org\neuroph\util\ConnectionFactory.java,neuroph,6,11,7,3,0.2917,0.119,0.5,8,4,"/** 
 * Creates full connectivity within layer - each neuron with all other
 * within the same layer with the specified weight and delay values for all
 * conections.
 */
public static void fullConnect(Layer layer,double weightVal,int delay){
  int neuronNum=layer.getNeuronsCount();
  for (int i=0; i < neuronNum; i++) {
    for (int j=0; j < neuronNum; j++) {
      if (j == i)       continue;
      Neuron from=layer.getNeuronAt(i);
      Neuron to=layer.getNeuronAt(j);
      createConnection(from,to,weightVal,delay);
    }
  }
}
"
1275,"forwardConnect(Layer,Layer,double)",D:\temp\case study\neuroph-2.94\org\neuroph\util\ConnectionFactory.java,neuroph,6,10,5,3,0.3056,0.1083,0.5,5,2,"/** 
 * Creates forward connection pattern between specified layers
 * @param fromLayerlayer to connect
 * @param toLayerlayer to connect to
 */
public static void forwardConnect(Layer fromLayer,Layer toLayer){
  for (int i=0; i < fromLayer.getNeuronsCount(); i++) {
    Neuron fromNeuron=fromLayer.getNeuronAt(i);
    Neuron toNeuron=toLayer.getNeuronAt(i);
    createConnection(fromNeuron,toNeuron,1);
  }
}
"
1277,DataSetStatistics(DataSet),D:\temp\case study\neuroph-2.94\org\neuroph\util\DataSetStatistics.java,neuroph,13,47,16,4,0.1657,0.1721,0.333333333,18,1,"public DataSetStatistics(DataSet dataSet){
  this.dataSet=dataSet;
  this.rowSize=dataSet.getInputSize() + dataSet.getOutputSize();
  this.rowCount=dataSet.getRows().size();
  this.mean=new double[this.rowSize];
  this.max=new double[this.rowSize];
  this.min=new double[this.rowSize];
  this.sum=new double[this.rowSize];
  this.var=new double[this.rowSize];
  this.stdDev=new double[this.rowSize];
  this.frequency=new double[this.rowSize];
  this.setDefaultValues();
}
"
1279,resetValues(),D:\temp\case study\neuroph-2.94\org\neuroph\util\DataSetStatistics.java,neuroph,6,9,3,3,0.2667,0.1429,0,5,2,"/** 
 * Resets statistics values to default.
 */
private void resetValues(){
  for (int i=0; i < this.rowSize; i++) {
    this.sum[i]=0;
    this.var[i]=0;
    this.frequency[i]=-0.0;
  }
}
"
1280,calculateStatistics(),D:\temp\case study\neuroph-2.94\org\neuroph\util\DataSetStatistics.java,neuroph,24,211,146,3,0.1155,0.0635,0.666666667,34,9,"/** 
 * Calculates basic statistics by columns of the dataset.
 */
public void calculateStatistics(){
  this.resetValues();
  DataSetColumnType[] columnTypes=this.dataSet.getColumnTypes();
  for (  DataSetRow dataSetRow : this.dataSet.getRows()) {
    double[] row=dataSetRow.toArray();
    for (int i=0; i < this.rowSize; i++) {
      this.max[i]=Math.max(this.max[i],row[i]);
      this.min[i]=Math.min(this.min[i],row[i]);
      this.sum[i]+=row[i];
      if (columnTypes[i] == DataSetColumnType.NOMINAL) {
        this.frequency[i]+=row[i];
      }
    }
  }
  for (int i=0; i < this.rowSize; i++) {
    this.mean[i]=this.sum[i] / (double)this.rowCount;
    if (columnTypes[i] == DataSetColumnType.NOMINAL) {
      this.frequency[i]/=(double)this.rowCount;
    }
  }
  for (  DataSetRow dataSetRow : this.dataSet.getRows()) {
    double[] row=dataSetRow.toArray();
    for (int i=0; i < this.rowSize; i++) {
      double delta=row[i] - this.mean[i];
      this.var[i]+=delta * delta;
    }
  }
  for (int i=0; i < this.rowSize; i++) {
    this.var[i]/=(double)this.rowCount;
    this.stdDev[i]=Math.sqrt(this.var[i]);
  }
}
"
1288,calculateMeanByColumns(DataSet),D:\temp\case study\neuroph-2.94\org\neuroph\util\DataSetStats.java,neuroph,10,30,15,3,0.2667,0.1258,0.666666667,6,4,"/** 
 * @param dataSet Neuroph dataset
 * @return arithmetic mean for each variable in data set
 */
public static double[] calculateMeanByColumns(DataSet dataSet){
  double[] mean=new double[dataSet.getInputSize()];
  for (  DataSetRow row : dataSet.getRows()) {
    double[] currentInput=row.getInput();
    for (int i=0; i < dataSet.getInputSize(); i++) {
      mean[i]+=currentInput[i];
    }
  }
  for (int i=0; i < dataSet.getInputSize(); i++) {
    mean[i]/=(double)dataSet.getRows().size();
  }
  return mean;
}
"
1289,calculateMaxByColumns(DataSet),D:\temp\case study\neuroph-2.94\org\neuroph\util\DataSetStats.java,neuroph,10,31,17,2,0.225,0.1133,0.666666667,7,4,"/** 
 * @param dataSet Neuroph dataset
 * @return maximum value for each variable in data set
 */
public static double[] calculateMaxByColumns(DataSet dataSet){
  int inputSize=dataSet.getInputSize();
  double[] maxColumnElements=new double[inputSize];
  for (int i=0; i < inputSize; i++) {
    maxColumnElements[i]=-Double.MAX_VALUE;
  }
  for (  DataSetRow dataSetRow : dataSet.getRows()) {
    double[] input=dataSetRow.getInput();
    for (int i=0; i < inputSize; i++) {
      maxColumnElements[i]=Math.max(maxColumnElements[i],input[i]);
    }
  }
  return maxColumnElements;
}
"
